rank,sentence,original_order,frequency,complexity,grammar,structural,similarity_penalty,similar_to,final_score
1,和,64,90.0,9.1,0.0,5.5,0.0,,72.27
2,人,27,90.0,9.1,0.0,5.5,0.0,,72.27
3,也！,30,90.0,9.1,0.0,5.5,0.0,,72.27
4,你,1,90.0,9.1,0.0,5.5,0.0,,72.27
5,为,33,90.0,9.1,0.0,5.5,0.0,,72.27
6,这,5,90.0,9.1,0.0,5.5,0.0,,72.27
7,说,7,90.0,9.1,0.0,5.5,0.0,,72.27
8,来,9,90.0,9.1,0.0,5.5,0.0,,72.26
9,等,31,90.0,9.1,0.0,5.5,0.0,,72.26
10,但,49,90.0,9.1,0.0,5.5,0.0,,72.26
11,能,22,90.0,9.1,0.0,5.5,0.0,,72.25
12,一,21,90.0,9.1,0.0,5.5,0.0,,72.25
13,很,11,90.0,9.1,0.0,5.5,0.0,,72.25
14,给,29,89.9,9.1,0.0,5.5,0.0,,72.25
15,去！,15,89.9,9.1,0.0,5.5,0.0,,72.25
16,看,16,89.9,9.1,0.0,5.5,0.0,,72.25
17,又？,61,89.9,9.1,0.0,5.5,0.0,,72.25
18,下,26,89.9,9.1,0.0,5.5,0.0,,72.25
19,做,19,89.9,9.1,0.0,5.5,0.0,,72.24
20,没,13,89.9,9.1,0.0,5.5,0.0,,72.24
21,它,4,89.9,9.1,0.0,5.5,0.0,,72.23
22,三,74,89.9,9.1,0.0,5.5,0.0,,72.23
23,可,36,89.9,9.1,0.0,5.5,0.0,,72.23
24,吧,8,89.9,9.1,0.0,5.5,0.0,,72.23
25,出,65,89.9,9.1,0.0,5.5,0.0,,72.22
26,啊！,12,89.9,9.1,0.0,5.5,0.0,,72.22
27,再?,6,89.9,9.1,0.0,5.5,0.0,,72.22
28,爱,28,89.9,9.1,0.0,5.5,0.0,,72.22
29,谁？,24,89.9,9.1,0.0,5.5,0.0,,72.21
30,跟,54,89.9,9.1,0.0,5.5,0.0,,72.20
31,请,34,89.9,9.1,0.0,5.5,0.0,,72.20
32,钱,48,89.8,9.1,0.0,5.5,0.0,,72.19
33,起,50,89.8,9.1,0.0,5.5,0.0,,72.18
34,两,91,89.8,9.1,0.0,5.5,0.0,,72.18
35,走,18,89.8,9.1,0.0,5.5,0.0,,72.17
36,吃,85,89.8,9.1,0.0,5.5,0.0,,72.17
37,玩？,45,89.7,9.1,0.0,5.5,0.0,,72.12
38,哪？,51,89.6,9.1,0.0,5.5,0.0,,72.08
39,车,67,89.4,9.1,0.0,5.5,0.0,,72.00
40,手,52,89.4,9.1,0.0,5.5,0.0,,71.99
41,哦,23,89.4,9.1,0.0,5.5,0.0,,71.97
42,门,95,89.4,9.1,0.0,5.5,0.0,,71.95
43,是 是,103,90.0,11.9,0.0,7.2,0.0,,71.42
44,我 我,101,90.0,11.9,0.0,7.2,0.0,,71.42
