rank,sentence,pinyin,english,original_order,complexity,frequency,similarity_penalty,similar_to,final_score
1,不,Bù,No.,1,9.1,100.0,0.0,,77.27
2,别,Bié,Don't.,2,9.1,100.0,0.0,1,77.25
3,从,Cóng,From.,1,9.1,99.9,0.0,1,77.24
4,死!,Sǐ!,Die!,4,9.1,99.9,0.0,1,77.23
5,干！,Gàn!,Damn it!,3,9.1,99.9,0.0,1,77.23
6,错,Cuò,Wrong.,5,9.1,99.9,0.0,1,77.23
7,放！,Fàng!,Let go!,6,9.1,99.8,0.0,1,77.19
8,新！,Xīn!,New!,13,9.1,99.8,0.0,1,77.18
9,老？,Lǎo?,Old?,3,9.1,99.8,0.0,1,77.18
10,号,Hào,Number.,174,9.1,99.8,0.0,1,77.16
11,狗,Gǒu,Dog.,15,9.1,99.8,0.0,1,77.16
12,拉！,Lā!,Pull!,50,9.1,99.7,0.0,1,77.11
13,水,Shuǐ,Water.,261,9.1,99.6,0.0,1,77.10
14,四,Sì,Four.,40,9.1,99.6,0.0,1,77.08
15,五,Wǔ,Five.,7,9.1,99.5,0.0,1,77.05
16,二,Èr,Two.,2,9.1,99.5,0.0,1,77.01
17,血,Xuè,Blood.,39,9.1,99.5,0.0,1,77.00
18,船,Chuán,Boat.,139,9.1,99.4,0.0,1,76.98
19,梦,Mèng,Dream.,98,9.1,99.4,0.0,1,76.96
20,六,Liù,Six.,64,9.1,99.4,0.0,1,76.95
21,光,Guāng,Light.,285,9.1,99.3,0.0,1,76.94
22,火,Huǒ,Fire!,4,9.1,99.3,0.0,1,76.92
23,热,Rè,Hot.,41,9.1,99.2,0.0,1,76.88
24,去 去,Qù qù,"Go, go.",142,11.9,100.0,0.0,1,76.41
25,对 对,Duì duì,Yes yes.,539,11.9,100.0,0.0,1,76.41
26,啊啊！,Ā ā!,Ah ah!,911,11.9,100.0,0.0,1,76.41
27,请 请,Qǐng qǐng,"Please, please.",615,11.9,99.9,0.0,1,76.37
28,喂 喂,Wèi wèi,Hello? Hello?,611,11.9,99.7,0.0,1,76.30
29,会吗？,Huì ma?,Will it?,501,13.2,100.0,0.0,1,76.04
30,那就,Nà jiù,Then.,523,13.2,100.0,0.0,1,76.04
31,在哪？,Zài nǎ?,Where?,735,13.2,99.9,0.0,1,76.02
32,要玩,Yào wán,Want to play?,699,13.2,99.9,0.0,1,75.99
33,拿住,Ná zhù,Hold on!,857,13.2,99.9,0.0,1,75.98
34,谢谢,Xiè xie,Thank you.,808,14.9,99.9,0.0,1,75.49
35,哥哥,Gēge,Older brother.,198,14.9,99.3,0.0,1,75.19
36,弟弟,Dìdi,Younger brother.,154,14.9,99.3,0.0,1,75.16
37,―什么?,―shénme?,- What?,215,16.2,100.0,0.0,1,75.14
38,一次,Yīcì,Once.,10,16.2,100.0,0.0,1,75.13
