rank,sentence,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
1,On y est.<br><br><br>,258,100.0,14.0,0.0,8.4,0.0,,77.05
2,Par ici !<br><br><br>,62,99.9,14.9,0.0,8.9,0.0,,76.85
3,Tu as tout.<br><br><br>,23,100.0,16.4,0.0,9.8,0.0,,76.53
4,Nom de Dieu !<br><br><br>,610,99.9,17.6,0.0,10.6,0.0,,76.25
5,Je vous vis.<br><br><br>,216,99.8,17.6,0.0,10.6,0.0,,76.20
6,Si tu veux.<br><br><br>,21,99.9,16.4,0.0,9.8,4.0,,75.73
7,Il a tout vu.<br><br><br>,55,100.0,17.5,0.0,10.5,3.3,,75.64
8,Ce n'est rien.<br><br><br>,74,100.0,18.5,0.0,11.1,3.3,,75.44
9,C'est mon ami.<br><br><br>,449,99.9,18.5,0.0,11.1,3.3,,75.40
10,Je n'en ai pas.<br><br><br>,95,100.0,19.2,0.0,11.5,2.9,,75.40
11,Il fait nuit.<br><br><br>,318,99.9,18.8,0.0,11.3,3.3,,75.34
12,Ça se lit bien.<br><br><br>,541,99.9,19.4,0.0,11.7,2.9,,75.29
13,Où est Paris ?<br><br><br>,922,99.9,18.8,0.0,11.3,4.0,,75.22
14,Je sais tout.<br><br><br>,90,99.9,18.8,0.0,11.3,4.0,,75.22
15,Je me sens mal.<br><br><br>,184,99.9,19.4,0.0,11.7,3.3,,75.22
16,Je suis beau.<br><br><br>,320,99.9,18.8,0.0,11.3,4.0,,75.20
17,Il peut lire.<br><br><br>,471,99.9,18.8,0.0,11.3,4.0,,75.19
18,Ça reste à voir.<br><br><br>,411,99.9,20.4,0.0,12.2,2.9,,75.13
19,Tu bois du vin ?<br><br><br>,812,99.7,19.4,0.0,11.7,3.3,,75.12
20,Encore un peu ?<br><br><br>,54,100.0,20.0,0.0,12.0,3.3,,75.11
21,Elle en veut un.<br><br><br>,65,100.0,20.4,0.0,12.2,3.3,,75.04
22,Je veux le voir.<br><br><br>,20,99.9,20.4,0.0,12.2,3.3,,75.03
23,On le sait déjà.<br><br><br>,338,99.9,20.4,0.0,12.2,3.3,,75.02
24,Il est en route.<br><br><br>,681,99.9,20.4,0.0,12.2,3.3,,75.01
25,J'ai tout vu.<br><br><br>,389,100.0,17.5,0.0,10.5,6.7,,74.97
26,Je te l'ai dit !<br><br><br>,22,100.0,19.2,0.0,11.5,5.0,,74.96
27,Ce sont des gens.<br><br><br>,204,100.0,21.3,0.0,12.8,2.9,,74.94
28,J'ai un reçu.<br><br><br>,674,99.9,17.5,0.0,10.5,6.7,,74.92
29,Et si je refuse ?<br><br><br>,537,99.7,20.4,0.0,12.2,3.3,,74.91
30,À dimanche !<br><br><br>,798,99.8,20.1,0.0,12.0,4.0,,74.88
31,Tu dois venir.<br><br><br>,348,99.7,20.0,0.0,12.0,4.0,,74.87
32,Nous avons été amis.<br><br><br>,427,99.9,24.2,0.0,14.5,0.0,,74.87
33,Reste avec moi.<br><br><br>,517,99.9,21.2,0.0,12.8,3.3,,74.84
34,Ce sera pour moi.<br><br><br>,64,100.0,21.3,0.0,12.8,3.3,,74.84
35,Elle ne dit rien.<br><br><br>,117,100.0,21.3,0.0,12.8,3.3,,74.84
36,Il l'aime encore.<br><br><br>,948,99.9,21.3,0.0,12.8,3.3,,74.83
