rank,sentence,pinyin,pinyin_corrected,pinyin_reason,english,original_order,complexity,frequency,similarity_penalty,similar_to,final_score,removed
1,一,Yī,yī,needs formatting,One.,21,9.1,100.0,0.0,,77.27,
2,很,Hěn,hěn,needs formatting,Very.,11,9.1,100.0,0.0,1,77.27,
3,人,Rén,rén,needs formatting,Person.,27,9.1,100.0,0.0,1,77.27,
4,吧,Ba,ba,needs formatting,Right?,8,9.1,100.0,0.0,1,77.27,
5,能,Néng,néng,needs formatting,Can; able to.,22,9.1,100.0,0.0,1,77.26,
6,去！,Qù!,qù,needs formatting,Go!,15,9.1,100.0,0.0,1,77.26,
7,和,Hé,hé,needs formatting,and.,64,9.1,100.0,0.0,1,77.26,
8,也！,Yě!,yě,needs formatting,Too!,30,9.1,100.0,0.0,1,77.26,
9,啊！,A!,a,needs formatting,Ah!,12,9.1,100.0,0.0,1,77.26,
10,做,Zuò,zuò,needs formatting,to do; to make.,19,9.1,100.0,0.0,1,77.26,
11,看,Kàn,kàn,needs formatting,Look.,16,9.1,100.0,0.0,1,77.26,
12,走,Zǒu,zǒu,needs formatting,Go.,18,9.1,99.9,0.0,1,77.25,
13,跟,Gēn,gēn,needs formatting,with; and.,54,9.1,99.9,0.0,1,77.25,
14,再?,Zài?,zài,needs formatting,Again?,6,9.1,99.9,0.0,1,77.25,
15,下,Xià,xià,needs formatting,Down.,26,9.1,99.9,0.0,1,77.24,
16,它,Tā,tā,needs formatting,It.,4,9.1,99.9,0.0,1,77.24,
17,两,Liǎng,liǎng,needs formatting,Two.,91,9.1,99.9,0.0,1,77.23,
18,又？,Yòu?,yòu,needs formatting,Again?,61,9.1,99.9,0.0,1,77.23,
19,等,Děng,děng,needs formatting,Wait.,31,9.1,99.9,0.0,1,77.22,
20,爱,Ài,ài,needs formatting,Love.,28,9.1,99.9,0.0,1,77.22,
21,请,Qǐng,qǐng,needs formatting,Please.,34,9.1,99.9,0.0,1,77.22,
22,钱,Qián,qián,needs formatting,Money.,48,9.1,99.9,0.0,1,77.22,
23,哪？,Nǎ?,nǎ,needs formatting,Where?,51,9.1,99.9,0.0,1,77.21,
24,三,Sān,sān,needs formatting,Three.,74,9.1,99.8,0.0,1,77.18,
25,喝,Hē,hē,needs formatting,Drink.,71,9.1,99.8,0.0,1,77.17,
26,玩？,Wán?,wán,needs formatting,Play?,45,9.1,99.8,0.0,1,77.16,
27,嘴,Zuǐ,zuǐ,needs formatting,Mouth.,86,9.1,99.7,0.0,1,77.11,
28,懂,Dǒng,dǒng,needs formatting,Understand.,70,9.1,99.6,0.0,1,77.08,
29,十,Shí,shí,needs formatting,Ten.,93,9.1,99.3,0.0,1,76.93,
30,我 我,Wǒ wǒ,wǒ wǒ,needs formatting,I I.,101,11.9,100.0,0.0,1,76.42,
31,是 是,Shì shì,shì shì,needs formatting,"Yes, yes.",103,11.9,100.0,0.0,1,76.42,
