"english","arabic","transliteration"
"I","أَنَا","ana"
"you (singular)","أَنْتَ","anta"
"he/she/it/they (singular)","هُوَ","huwa"
"we","نَحْنُ","nahnu"
"you (plural)","أَنْتُمْ","antum"
"they (plural)","هُمْ","hum"
"this","هٰذَا","hadha"
"that","ذٰلِكَ","dhalika"
"here","هُنَا","huna"
"there","هُنَاكَ","hunaka"
"who","مَنْ","man"
"what","مَا","ma"
"where","أَيْن","ayn"
"when","مَتَى","mata"
"how","كَيْف","kayf"
"not","لَا","la"
"all","كُلّ","kull"
"many","كَثِير","kathir"
"some","بَعْض","ba'd"
"few","قَلِيل","qalil"
"other","آخَر","akhar"
"one","وَاحِد","wahid"
"two","اِثْنَان","ithnan"
"three","ثَلَاثَة","thalatha"
"four","أَرْبَعَة","arba'a"
"five","خَمْسَة","khamsa"
"big","كَبِير","kabir"
"long","طَوِيل","tawil"
"wide","وَاسِع","wasi'"
"thick","سَمِيك","samik"
"heavy","ثَقِيل","thaqil"
"small","صَغِير","saghir"
"short","قَصِير","qasir"
"narrow","ضَيِّق","dayyiq"
"thin","رَقِيق","raqiq"
"woman","اِمْرَأَة","imra'a"
"man","رَجُل","rajul"
"human being","إِنْسَان","insan"
"child","طِفْل","tifl"
"wife","زَوْجَة","zawja"
"husband","زَوْج","zawj"
"mother","أُمّ","umm"
"father","أَب","ab"
"animal","حَيَوَان","hayawan"
"fish","سَمَك","samak"
"bird","طَائِر","ta'ir"
"dog","كَلْب","kalb"
"louse","قَمْل","qaml"
"snake","ثُعْبَان","thu'ban"
"worm","دُود","dud"
"tree","شَجَرَة","shajara"
"forest","غَابَة","ghaba"
"stick","عَصًا","asan"
"fruit","فَاكِهَة","fakiha"
"seed","زَرْع","zar'"
"leaf","وَرَقَة","waraqa"
"root","جِذْر","jithr"
"tree bark","قِلْف","qilf"
"flower","زَهْرَة","zahra"
"grass","حَشِيش","hashish"
"rope","حَبْل","habl"
"skin","جِلْد","jild"
"meat","لَحْم","lahm"
"blood","دَم","dam"
"bone","عَظْم","azm"
"fat (noun)","دُهْن","duhn"
"egg","بَيْضَة","bayda"
"horn","قَرْن","qarn"
"tail","ذَنَب","thanab"
"feather","رِيشَة","risha"
"hair","شَعْر","sha'r"
"head","رَأْس","ra's"
"ear","أُذُن","udhun"
"eye","عَيْن","ayn"
"nose","أَنْف","anf"
"mouth","فَم","fam"
"tooth","سِنّ","sinn"
"tongue","لِسَان","lisan"
"fingernail","ظُفْر","zufr"
"foot","قَدَم","qadam"
"leg","رِجْل","rijl"
"knee","رُكْبَة","rukba"
"hand","يَد","yad"
"wing","جَنَاح","janah"
"belly","بَطْن","batn"
"guts","أَمْعَاء","am'a'"
"neck","رَقَبَة","raqaba"
"back","ظَهْر","zahr"
"breast","ثَدْي","thady"
"heart","قَلْب","qalb"
"liver","كَبِد","kabid"
"to drink","شَرِبَ","shariba"
"to eat","أَكَلَ","akala"
"to bite","عَضَّ","adda"
"to suck","مَصَّ","massa"
"to spit","بَصَقَ","basaqa"
"to vomit","تَقَيَّأَ","taqayya'a"
"to blow","نَفَخَ","nafakha"
"to breathe","تَنَفَّسَ","tanaffasa"
"to laugh","ضَحِكَ","dahika"
"to see","رَأَى","ra'a"
"to hear","سَمِعَ","sami'a"
