english,german
I,ich
you (singular),du
he/she/it/they (singular),er/sie/es
we,wir
you (plural),ihr
they (plural),sie
this,dies
that,das
here,hier
there,dort
who,wer
what,was
where,wo
when,wann
how,wie
not,nicht
all,alle
many,viele
some,einige
few,wenige
other,andere
one,eins
two,zwei
three,drei
four,vier
five,fünf
big,groß
long,lang
wide,breit
thick,dick
heavy,schwer
small,klein
short,kurz
narrow,schmal
thin,dünn
woman,die Frau
man,der Mann
human being,der Mensch
child,das Kind
wife,die Ehefrau
husband,der Ehemann
mother,die Mutter
father,der Vater
animal,das Tier
fish,der Fisch
bird,der Vogel
dog,der Hund
louse,die Laus
snake,die Schlange
worm,der Wurm
tree,der Baum
forest,der Wald
stick,der Stock
fruit,die Frucht
seed,der Samen
leaf,das Blatt
root,die Wurzel
tree bark,die Rinde
flower,die Blume
grass,das Gras
rope,das Seil
skin,die Haut
meat,das Fleisch
blood,das Blut
bone,der Knochen
fat (noun),das Fett
egg,das Ei
horn,das Horn
tail,der Schwanz
feather,die Feder
hair,das Haar
head,der Kopf
ear,das Ohr
eye,das Auge
nose,die Nase
mouth,der Mund
tooth,der Zahn
tongue,die Zunge
fingernail,der Fingernagel
foot,der Fuß
leg,das Bein
knee,das Knie
hand,die Hand
wing,der Flügel
belly,der Bauch
guts,die Eingeweide
neck,der Hals
back,der Rücken
breast,die Brust
heart,das Herz
liver,die Leber
to drink,trinken
to eat,essen
to bite,beißen
to suck,saugen
to spit,spucken
to vomit,erbrechen
to blow,blasen
to breathe,atmen
to laugh,lachen
to see,sehen
to hear,hören
to know,wissen
to think,denken
to smell,riechen
to fear,fürchten
to sleep,schlafen
to live,leben
to die,sterben
to kill,töten
to fight,kämpfen
to hunt,jagen
to hit,schlagen
to cut,schneiden
to split,spalten
to stab,stechen
to scratch,kratzen
to dig,graben
to swim,schwimmen
to fly,fliegen
to walk,gehen
to come,kommen
to lie down,sich hinlegen
to sit,sitzen
to stand,stehen
to turn (intransitive),sich drehen
to fall,fallen
to give,geben
to hold,halten
to squeeze,drücken
to rub,reiben
to wash,waschen
to wipe,abwischen
to pull,ziehen
to push,schieben
to throw,werfen
to tie,binden
to sew,nähen
to count,zählen
to say,sagen
to sing,singen
to play,spielen
to float,treiben
to flow,fließen
to freeze,frieren
to swell,schwellen
sun,die Sonne
moon,der Mond
star,der Stern
water,das Wasser
rain,der Regen
river,der Fluss
lake,der See
sea,das Meer
salt,das Salz
stone,der Stein
sand,der Sand
dust,der Staub
earth,die Erde
cloud,die Wolke
fog,der Nebel
sky,der Himmel
wind,der Wind
snow,der Schnee
ice,das Eis
smoke,der Rauch
fire,das Feuer
ash,die Asche
to burn,brennen
road,die Straße
mountain,der Berg
red,rot
green,grün
yellow,gelb
white,weiß
black,schwarz
night,die Nacht
day,der Tag
year,das Jahr
warm,warm
cold,kalt
full,voll
new,neu
old,alt
good,gut
bad,schlecht
rotten,faul
dirty,schmutzig
straight,gerade
round,rund
sharp,scharf
dull,stumpf
smooth,glatt
wet,nass
dry,trocken
correct,richtig
near,nah
far,weit
right,rechts
left,links
at,bei
in,in
with,mit
and,und
if,wenn
because,weil
name,Name
