rank,sentence,pinyin,pinyin_corrected,pinyin_reason,english,original_order,complexity,frequency,similarity_penalty,similar_to,final_score,removed
1,不,Bù,bù,needs formatting,No.,1,9.1,100.0,0.0,,77.27,
2,别,Bié,bié,needs formatting,Don't.,2,9.1,100.0,0.0,1,77.25,
3,从,Cóng,cóng,needs formatting,From.,1,9.1,99.9,0.0,1,77.24,
4,死!,Sǐ!,sǐ,needs formatting,Die!,4,9.1,99.9,0.0,1,77.23,
5,干！,Gàn!,gàn,needs formatting,Damn it!,3,9.1,99.9,0.0,1,77.23,
6,错,Cuò,cuò,needs formatting,Wrong.,5,9.1,99.9,0.0,1,77.23,
7,放！,Fàng!,fàng,needs formatting,Let go!,6,9.1,99.8,0.0,1,77.19,
8,新！,Xīn!,xīn,needs formatting,New!,13,9.1,99.8,0.0,1,77.18,
9,老？,Lǎo?,lǎo,needs formatting,Old?,3,9.1,99.8,0.0,1,77.18,
10,号,Hào,hào,needs formatting,Number.,174,9.1,99.8,0.0,1,77.16,
11,狗,Gǒu,gǒu,needs formatting,Dog.,15,9.1,99.8,0.0,1,77.16,
12,拉！,Lā!,lā,needs formatting,Pull!,50,9.1,99.7,0.0,1,77.11,
13,水,Shuǐ,shuǐ,needs formatting,Water.,261,9.1,99.6,0.0,1,77.10,
14,四,Sì,sì,needs formatting,Four.,40,9.1,99.6,0.0,1,77.08,
15,五,Wǔ,wǔ,needs formatting,Five.,7,9.1,99.5,0.0,1,77.05,
16,二,Èr,èr,needs formatting,Two.,2,9.1,99.5,0.0,1,77.01,
17,血,Xuè,xuè,needs formatting,Blood.,39,9.1,99.5,0.0,1,77.00,
18,船,Chuán,chuán,needs formatting,Boat.,139,9.1,99.4,0.0,1,76.98,
19,梦,Mèng,mèng,needs formatting,Dream.,98,9.1,99.4,0.0,1,76.96,
20,六,Liù,liù,needs formatting,Six.,64,9.1,99.4,0.0,1,76.95,
21,光,Guāng,guāng,needs formatting,Light.,285,9.1,99.3,0.0,1,76.94,
22,火,Huǒ,huǒ,needs formatting,Fire!,4,9.1,99.3,0.0,1,76.92,
23,热,Rè,rè,needs formatting,Hot.,41,9.1,99.2,0.0,1,76.88,
24,去 去,Qù qù,qù qù,needs formatting,"Go, go.",142,11.9,100.0,0.0,1,76.41,
25,对 对,Duì duì,duì duì,needs formatting,Yes yes.,539,11.9,100.0,0.0,1,76.41,
26,啊啊！,Ā ā!,ā ā,needs formatting,Ah ah!,911,11.9,100.0,0.0,1,76.41,
27,请 请,Qǐng qǐng,qǐng qǐng,needs formatting,"Please, please.",615,11.9,99.9,0.0,1,76.37,
28,喂 喂,Wèi wèi,wèi wèi,needs formatting,Hello? Hello?,611,11.9,99.7,0.0,1,76.30,
29,会吗？,Huì ma?,huì ma,needs formatting,Will it?,501,13.2,100.0,0.0,1,76.04,
30,那就,Nà jiù,nà jiù,needs formatting,Then.,523,13.2,100.0,0.0,1,76.04,
31,在哪？,Zài nǎ?,zài nǎ,needs formatting,Where?,735,13.2,99.9,0.0,1,76.02,
32,要玩,Yào wán,yào wán,needs formatting,Want to play?,699,13.2,99.9,0.0,1,75.99,
33,拿住,Ná zhù,ná zhù,needs formatting,Hold on!,857,13.2,99.9,0.0,1,75.98,
34,谢谢,Xiè xie,xiè xie,needs formatting,Thank you.,808,14.9,99.9,0.0,1,75.49,
35,哥哥,Gēge,gē gē,needs syllable separation: 1 words for 2 chars,Older brother.,198,14.9,99.3,0.0,1,75.19,
36,弟弟,Dìdi,dì di,needs syllable separation: 1 words for 2 chars,Younger brother.,154,14.9,99.3,0.0,1,75.16,
37,―什么?,―shénme?,― shén me ?,needs syllable separation: 1 words for 2 chars,- What?,215,16.2,100.0,0.0,1,75.14,
38,一次,Yīcì,yī cì,needs syllable separation: 1 words for 2 chars,Once.,10,16.2,100.0,0.0,1,75.13,
39,因为,Yīnwèi,yīn wèi,needs syllable separation: 1 words for 2 chars,Because.,25,16.2,99.9,0.0,1,75.12,
40,但是,Dànshì,dàn shì,needs syllable separation: 1 words for 2 chars,But.,34,16.2,99.9,0.0,1,75.12,
41,两次,Liǎng cì,liǎng cì,needs formatting,Twice.,988,16.2,99.9,0.0,1,75.11,
42,起来,Qǐlai,qǐ lái,needs syllable separation: 1 words for 2 chars,Get up.,36,16.2,99.9,0.0,1,75.10,
43,这些,Zhèxiē,zhè xiē,needs syllable separation: 1 words for 2 chars,These.,37,16.2,99.9,0.0,1,75.10,
44,一起,Yī qǐ,yī qǐ,needs formatting,Together.,728,16.2,99.9,0.0,1,75.10,
45,工作,Gōngzuò,gōng zuò,needs syllable separation: 1 words for 2 chars,Work.,44,16.2,99.9,0.0,1,75.09,
46,然后,Ránhòu,rán hòu,needs syllable separation: 1 words for 2 chars,Then.,90,16.2,99.9,0.0,1,75.09,
47,所有,Suǒyǒu,suǒ yǒu,needs syllable separation: 1 words for 2 chars,All.,88,16.2,99.9,0.0,1,75.09,
48,希望,Xīwàng,xī wàng,needs syllable separation: 1 words for 2 chars,Hope.,28,16.2,99.9,0.0,1,75.09,
49,三次,Sān cì,sān cì,needs formatting,Three times.,945,16.2,99.9,0.0,1,75.08,
50,今天,Jīntiān,jīn tiān,needs syllable separation: 1 words for 2 chars,Today.,38,16.2,99.9,0.0,1,75.08,
51,两位,Liǎng wèi,liǎng wèi,needs formatting,Two of you.,973,16.2,99.9,0.0,1,75.08,
52,出来,Chū lái,chū lái,needs formatting,Come out.,823,16.2,99.8,0.0,1,75.07,
53,肯定,Kěndìng,kěn dìng,needs syllable separation: 1 words for 2 chars,Definitely.,29,16.2,99.8,0.0,1,75.06,
54,为了,Wèile,wèi le,needs syllable separation: 1 words for 2 chars,For.,114,16.2,99.8,0.0,1,75.06,
55,第一,Dì yī,dì yī,needs formatting,First.,825,16.2,99.8,0.0,1,75.06,
56,一些,Yīxiē,yī xiē,needs syllable separation: 1 words for 2 chars,Some.,162,16.2,99.8,0.0,1,75.06,
57,生活,Shēnghuó,shēng huó,needs syllable separation: 1 words for 2 chars,Life.,120,16.2,99.8,0.0,1,75.05,
58,医生,Yīshēng,yī shēng,needs syllable separation: 1 words for 2 chars,Doctor.,79,16.2,99.8,0.0,1,75.05,
59,女人,Nǚrén,nǚ rén,needs syllable separation: 1 words for 2 chars,Woman.,123,16.2,99.8,0.0,1,75.05,
60,名字,Míngzi,míngzi,needs formatting,Name.,17,16.2,99.8,0.0,1,75.05,
61,或者,Huòzhě,huò zhě,needs syllable separation: 1 words for 2 chars,Or.,226,16.2,99.8,0.0,1,75.04,
62,继续,Jìxù,jì xù,needs syllable separation: 1 words for 2 chars,Continue.,11,16.2,99.8,0.0,1,75.04,
63,以前？,Yǐqián?,yǐ qián,needs syllable separation: 1 words for 2 chars,Before?,76,16.2,99.8,0.0,1,75.03,
64,可是,Kěshì,kě shì,needs syllable separation: 1 words for 2 chars,But.,115,16.2,99.8,0.0,1,75.03,
65,男人,Nánrén,nán rén,needs syllable separation: 1 words for 2 chars,Man.,117,16.2,99.8,0.0,1,75.03,
66,儿子,Érzi,érzi,needs formatting,Son.,47,16.2,99.7,0.0,1,75.02,
67,是爸爸,Shì bàba,shì bà bà,needs syllable separation: 2 words for 3 chars,It's Dad.,946,16.5,99.9,0.0,1,75.01,
68,永远,Yǒngyuǎn,yǒng yuǎn,needs syllable separation: 1 words for 2 chars,Forever.,100,16.2,99.7,0.0,1,75.01,
69,帮助！,Bāng zhù!,bāng zhù,needs formatting,Help!,191,16.2,99.7,0.0,1,75.01,
70,有人,Yǒurén,yǒu rén,needs syllable separation: 1 words for 2 chars,Someone is there.,77,16.2,99.7,0.0,1,75.00,
71,回家,Huí jiā,huí jiā,needs formatting,Go home.,712,16.2,99.7,0.0,1,75.00,
72,愿意,Yuànyì,yuàn yì,needs syllable separation: 1 words for 2 chars,Willing.,32,16.2,99.7,0.0,1,75.00,
73,计划,Jìhuà,jì huà,needs syllable separation: 1 words for 2 chars,Plan.,95,16.2,99.7,0.0,1,75.00,
74,说话,Shuō huà,shuō huà,needs formatting,Speak.,791,16.2,99.7,0.0,1,75.00,
75,欢迎,Huānyíng,huān yíng,needs syllable separation: 1 words for 2 chars,Welcome.,5,16.2,99.7,0.0,1,74.99,
76,总是,Zǒngshì,zǒng shì,needs syllable separation: 1 words for 2 chars,always.,164,16.2,99.7,0.0,1,74.99,
