rank,sentence,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
1,Je veux manger la cuisine française.,2797,99.7,34.1,0.0,20.5,0.0,,72.70
2,Les ennemis de mes ennemis sont mes amis.,1761,99.5,33.9,0.0,20.3,0.0,,72.67
3,Il nous faut combattre le feu avec le feu.,917,99.7,34.7,0.0,20.8,0.0,,72.58
4,J'allais à pied à l'école à cette époque.,5380,99.7,34.9,0.0,20.9,0.0,,72.56
5,Où est la galerie d'art la plus proche ?,3826,99.7,34.4,0.0,20.6,1.5,,72.32
6,Je suis d'accord d'accepter votre offre.,4328,99.8,34.6,0.0,20.8,1.7,,72.30
7,Ce plan avait peu de chance de réussite.,4433,99.7,34.6,0.0,20.8,1.7,,72.26
8,Elle peut parler l'anglais et l'allemand.,595,99.8,35.1,0.0,21.1,1.4,,72.26
9,La France était en guerre avec la Russie.,1081,99.9,35.1,0.0,21.1,1.7,,72.23
10,J'ignore si j'aurai le temps de le faire.,1719,99.7,34.9,0.0,20.9,1.5,,72.22
11,Le crime ne paie pas dans le long terme.,2830,99.6,34.9,0.0,21.0,1.4,,72.19
12,Mon chat s'est battu avec un autre chat.,647,99.6,34.9,0.0,21.0,1.4,,72.19
13,Nous allons nous marier au mois de juin.,5008,99.5,34.6,0.0,20.8,1.7,,72.18
14,Garde un oeil sur le bébé pour le moment.,3332,99.7,35.4,0.0,21.3,1.4,,72.13
15,Mince ! C'était trop beau pour être vrai.,2050,99.6,35.3,0.0,21.2,1.4,,72.13
16,La télévision détruit la vie de la famille.,841,99.6,35.0,0.0,21.0,1.8,,72.11
17,Dans quelle année scolaire est ta sœur ?,2800,99.7,35.4,0.0,21.2,1.5,,72.11
18,Arrête de te conduire comme une enfant !,3340,99.7,35.4,0.0,21.2,1.7,,72.09
19,Un tiers des six membres était des femmes.,861,99.8,35.7,0.0,21.4,1.5,,72.09
20,La police ne pouvait contrôler la foule.,3865,99.4,34.7,0.0,20.8,1.8,,72.07
21,Toute la neige sur la montagne a disparu.,818,99.5,35.1,0.0,21.1,1.7,,72.07
22,Quoi ! Tu as mangé mon ours en chocolat ?,3916,99.2,34.7,0.0,20.8,1.4,,72.05
23,L'art moderne ne signifie rien pour moi.,4527,99.7,35.8,0.0,21.5,1.5,,72.04
24,Ils font un bon usage de leurs chambres.,3220,99.6,35.8,0.0,21.5,1.5,,72.01
25,Elle essaie toujours d'aider les autres.,3402,99.8,36.0,0.0,21.6,1.7,,72.00
26,Maman ! Arrête ! Tu me mets mal à l'aise !,5278,99.5,34.6,0.0,20.8,2.7,,71.98
27,Elle l'a trouvé debout près de l'entrée.,4819,99.7,34.9,0.0,21.0,3.1,,71.92
28,Nous sommes sous le coup d'une attaque !,1355,99.9,35.3,0.0,21.2,3.1,,71.92
29,Comment se passe la recherche d'emploi ?,4102,99.9,35.4,0.0,21.2,3.1,,71.90
30,Il est capitaine de l'équipe de football.,4504,99.8,35.1,0.0,21.1,3.1,,71.90
31,Vous faites désormais partie du cercle !,3677,99.6,36.2,0.0,21.7,1.7,,71.88
32,Mon fils aime jouer aux petites voitures.,175,99.7,36.6,0.0,22.0,1.5,,71.86
33,Peu importe quelle équipe gagne le match.,3259,99.7,36.6,0.0,22.0,1.7,,71.85
34,Tom met rarement du sucre dans son café.,957,99.2,35.8,0.0,21.5,1.4,,71.85
35,Cet hôtel fut construit l'année dernière.,1617,99.6,36.6,0.0,22.0,1.5,,71.84
36,Mes efforts n'ont produit aucun résultat.,2980,99.7,36.6,0.0,22.0,1.7,,71.84
37,Vous ne pouvez pas juste changer d'avis.,1532,99.9,35.8,0.0,21.5,2.9,,71.84
38,On peut boire cette eau sans aucun risque.,2730,99.7,36.9,0.0,22.2,1.4,,71.84
39,Tout le monde attend dans l'autre pièce.,1119,99.8,35.8,0.0,21.5,2.9,,71.83
40,J'ai une mauvaise impression à ce sujet.,552,99.8,35.8,0.0,21.5,2.9,,71.82
41,Il était vraiment le fils de son époque.,1090,99.9,35.8,0.0,21.5,3.1,,71.82
42,Elle s'est mise à la peinture à l'huile.,5076,99.7,35.6,0.0,21.4,2.9,,71.82
43,Notre ville n'a pas de corps de pompiers.,4448,99.6,35.4,0.0,21.3,2.9,,71.82
44,Je t'entends mais je ne peux pas te voir.,2610,99.8,36.1,0.0,21.7,2.7,,71.81
45,Comment s'appelle cet animal en japonais ?,1748,99.5,36.6,0.0,22.0,1.5,,71.80
46,La partie fut remise au dimanche suivant.,4506,99.6,36.6,0.0,22.0,1.7,,71.80
47,Il n'allait plus jamais revoir son pays.,2798,99.8,35.8,0.0,21.5,2.9,,71.80
48,Ta mère se trouve dans un état critique.,250,99.9,35.8,0.0,21.5,3.1,,71.79
49,Elle veut étudier la musique et la danse.,2858,99.6,35.1,0.0,21.1,3.3,,71.78
50,Tom met rarement ses lunettes pour lire.,1889,99.2,36.0,0.0,21.6,1.5,,71.77
51,Tout cela appartient désormais au passé.,362,99.7,36.9,0.0,22.1,1.7,,71.77
