rank,sentence,romanization,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
1,死！,séi ！,0,89.8,9.1,0.0,5.5,0.0,,72.15
2,你先。,něi sīn 。,25,89.8,13.2,0.0,7.9,0.0,,70.95
3,送Tom走。,sûng tīom záu 。,132,89.7,13.2,0.0,7.9,0.0,,70.88
4,重要。,zungjîu 。,43,89.8,16.2,0.0,9.7,0.0,,70.07
5,信我啦！,sêon ngǒ lāa ！,46,89.6,17.2,0.0,10.3,0.0,,69.62
6,放低手！,fôngdāi sáu ！,524,89.4,17.8,0.0,10.7,0.0,,69.38
7,算吧啦。,syûn bāa lāa 。,28,89.6,17.2,0.0,10.3,4.0,,68.81
8,做你自己。,zou něi zigéi 。,75,90.0,21.0,0.0,12.6,4.0,,67.88
9,你就好啦。,něi zau hóu lāa 。,351,89.9,21.3,0.0,12.8,4.0,,67.73
10,你想走啦？,něi sóeng záu lāa ？,343,89.8,21.3,0.0,12.8,6.7,,67.17
11,你要信我啊。,něi jîu sêon ngǒ âa 。,648,89.8,25.4,0.0,15.2,6.7,,65.95
12,我好忙。,ngǒ hóu mòng 。,147,81.2,17.2,0.0,10.3,4.0,,64.62
13,我都想知!,ngǒ dōu sóeng zī !,525,83.3,21.3,0.0,12.8,3.3,,64.59
14,你就想呀！,něi zau sóeng āa ！,22,83.5,21.3,0.0,12.8,6.7,,64.02
15,我想喊。,ngǒ sóeng hâam 。,119,80.7,17.2,0.0,10.3,8.0,,63.60
16,阿Tom跑得好快。,âa tīom páau dāk hóu fâai 。,331,84.6,25.4,0.0,15.2,5.7,,63.53
17,我想你坐低。,ngǒ sóeng něi zo dāi 。,885,84.7,25.4,0.0,15.2,6.7,,63.37
18,你做得好好。,něi zoudākhóu hóu 。,451,83.4,23.4,0.0,14.1,6.7,,63.34
19,你明白未呀？,něi mìngbaak mei āa ？,359,83.3,24.7,0.0,14.8,5.7,,63.10
20,入返去。,japfáan hêoi 。,188,76.7,17.8,0.0,10.7,0.0,,63.04
21,食蕉啦你！,sikzīu lāa něi ！,627,80.4,21.0,0.0,12.6,6.7,,62.59
22,我希望做到。,ngǒ hēimong zoudôu 。,367,81.1,24.8,0.0,14.8,2.9,,62.56
23,女人好敏感。,něoijàn hóu mǎngám 。,556,80.6,24.8,0.0,14.8,2.9,,62.32
24,哦，呢度你行得到？,ngò ， nèi dou něi hàng dākdôu ？,836,85.4,32.4,0.0,19.4,4.4,,62.10
25,我有好多朋友。,ngǒ jǎu hóudō pàngjǎu 。,567,83.1,28.0,0.0,16.8,5.7,,61.99
26,我叫做Luis。,ngǒ gîuzou Luis 。,253,76.5,17.8,0.0,10.7,6.7,,61.58
27,Hamisi想要糖。,Hamisi sóengjîu tòng 。,510,75.7,17.8,0.0,10.7,5.0,,61.52
28,蕾拉想走。,lèoi lāai sóeng záu 。,746,77.9,21.3,0.0,12.8,6.7,,61.19
29,咪玩啦。,mǎi wun lāa 。,45,73.7,17.2,0.0,10.3,4.0,,60.89
30,想坐就坐。,sóeng zo zau zo 。,993,77.0,20.1,0.0,12.0,8.0,,60.86
31,我就快走喇。,ngǒ zau fâai záu lāa 。,440,77.9,25.4,0.0,15.2,3.3,,60.68
32,可唔可以教我？,hó m hójǐ gâau ngǒ ？,303,75.7,27.2,0.0,16.3,2.9,,59.08
33,唔怪得啦。,m gwâai dāk lāa 。,879,71.7,21.3,0.0,12.8,3.3,,58.80
34,我口渴到死。,ngǒ háuhôt dôu séi 。,543,74.4,24.7,0.0,14.8,5.0,,58.78
35,我好掛住你。,ngǒ hóu gwâazyu něi 。,640,74.9,24.7,0.0,14.8,6.7,,58.73
36,佢好想成功。,kěoi hóu sóeng sìnggūng 。,633,73.3,24.7,0.0,14.8,2.9,,58.68
37,我想要多少少茶呀。,ngǒ sóengjîu dōsíu síucàa āa 。,824,79.4,33.4,0.0,20.0,5.0,,58.66
38,我得嘅。,ngǒ dāk gê 。,873,70.0,17.2,0.0,10.3,6.7,,58.48
39,唔好跑。慢慢行。,m hóu páau 。 maanmaan hàng 。,922,75.3,27.2,0.0,16.3,5.0,,58.46
40,我計得好快。,ngǒgâi dāk hóu fâai 。,636,74.9,24.7,0.0,14.8,8.6,,58.35
41,我唔知啊。,ngǒ m zī âa 。,98,71.9,21.3,0.0,12.8,6.7,,58.21
42,等我瞌一陣先。,dáng ngǒ hāp jātzan sīn 。,385,74.2,28.0,0.0,16.8,2.9,,58.14
43,Tom 有三隻狗。,tīom jǎu sāamzêk gáu 。,504,69.8,21.3,0.0,12.8,2.2,,58.06
44,唔好喊啦。,m hóu hâam lāa 。,35,71.5,21.3,0.0,12.8,6.7,,58.03
45,去刷牙啦。,hêoi câatngàa lāa 。,269,70.0,21.0,0.0,12.6,3.3,,58.01
46,我想要支結他。,ngǒ sóengjîu zīgît tāa 。,244,74.8,28.0,0.0,16.8,6.0,,57.81
47,大家都喺到笑。,daaigāa dōu hái dôu sîu 。,896,73.4,28.5,0.0,17.1,2.2,,57.72
48,我都好愛你。,ngǒ dōu hóu ôi něi 。,224,74.0,25.4,0.0,15.2,8.6,,57.65
49,信不信由你。,sêonbātsêon jàu něi 。,357,71.7,23.5,0.0,14.1,5.7,,57.63
50,我高過你。,ngǒ gōugwô něi 。,528,70.0,21.0,0.0,12.6,5.7,,57.54
51,好高興見到你。,hóu gōuhîng gîndôu něi 。,308,73.3,28.0,0.0,16.8,5.0,,57.25
52,你可唔可以取消？,něi hó m hójǐ céoisīu ？,176,75.6,30.3,0.0,18.2,7.5,,57.22
53,呢到可唔可以唱歌㗎？,nèi dôu hó m hójǐ côenggō gâa ？,855,77.5,34.1,0.0,20.4,6.7,,57.20
54,有冇人呀？,jǎu mǒu jàn āa ？,199,68.2,21.3,0.0,12.8,2.9,,57.11
55,呢度有啲水。,nèi dou jǎu dī séoi 。,364,70.8,25.4,0.0,15.2,4.0,,56.96
56,我好少食肉。,ngǒ hóu síu sikjuk 。,368,71.4,24.7,0.0,14.8,6.7,,56.96
57,水就係生命。,séoi zau hai sāngming 。,133,69.7,24.7,0.0,14.8,2.9,,56.89
58,到咗未？,dôu zó mei ？,33,65.2,17.2,0.0,10.3,2.9,,56.87
59,搞咩呀你？,gáau mē āa něi ？,630,69.1,21.3,0.0,12.8,6.7,,56.84
60,加油！,gāajàu ！,12,62.9,16.2,0.0,9.7,0.0,,56.61
61,我笑咗。,ngǒ sîu zó 。,14,65.1,17.2,0.0,10.3,4.0,,56.60
62,你忙唔忙啊？,něi mòng m mòng âa ？,103,70.3,24.2,0.0,14.5,6.7,,56.56
63,個男人好老。,gô nàamjàn hóu lǒu 。,162,69.8,24.7,0.0,14.8,5.0,,56.50
64,佢需要你。,kěoi sēoijîu něi 。,129,67.9,21.0,0.0,12.6,5.7,,56.49
65,我失眠。,ngǒ sātmìn 。,874,65.0,17.8,0.0,10.7,4.0,,56.37
66,我唔明。,ngǒ m mìng 。,523,66.1,17.2,0.0,10.3,8.0,,56.26
67,安唔安全㗎？,ōn m ōncyùn gâa ？,64,65.9,19.8,0.0,11.8,4.0,,56.24
68,你做得對。,něi zou dāk dêoi 。,748,70.0,21.3,0.0,12.8,12.0,,56.18
69,我令John好開心。,ngǒling John hóuhōisām 。,419,69.8,24.8,0.0,14.8,6.7,,56.15
70,我咩都做唔到。,ngǒ mē dōu zou m dôu 。,564,72.9,29.5,0.0,17.7,7.5,,56.09
71,等我一陣。,dáng ngǒ jātzan 。,271,70.0,21.0,0.0,12.6,13.3,,56.03
72,打我吖。,dáa ngǒ āa 。,10,63.9,17.2,0.0,10.3,4.0,,55.98
73,我想要醫生。,ngǒ sóengjîu jīsāng 。,226,69.8,24.8,0.0,14.8,7.5,,55.97
74,你唔明。,něi m mìng 。,620,66.1,17.2,0.0,10.3,10.0,,55.85
75,早晨。,zóusàn 。,84,61.3,16.2,0.0,9.7,0.0,,55.82
76,我途中撞到阿Tom。,ngǒ tòuzūng zong dôu âa tīom 。,721,70.4,28.5,0.0,17.1,4.4,,55.76
77,佢好大波。,kěoi hóu daai bō 。,355,66.6,21.3,0.0,12.8,5.7,,55.76
78,唔重要㗎！,m zungjîu gâa ！,430,67.1,17.8,0.0,10.7,13.3,,55.54
79,屌，我地老喇！,díu ， ngǒ dei lǒu lāa ！,238,68.3,25.4,0.0,15.2,5.0,,55.53
80,你一定要救佢。,něi jātding jîu gâu kěoi 。,393,71.5,28.5,0.0,17.1,8.6,,55.47
81,你以為我傻㗎？,něi jǐ wài ngǒ sò gâa ？,678,68.5,25.4,0.0,15.2,5.7,,55.46
